control_number	control_name	category	question_id	question	guidance	auditor_focus	evidence_type	answer_type	what_good_looks_like	red_flags	nc_pattern	severity	primary_persona	related_controls	cps234_ref	cps230_ref
5.28	Collection of Evidence	Organisational Controls	3	How is chain of custody documented?	Chain of custody review. Look for: chain of custody forms; access logs; secure storage; handover documentation.	Can you demonstrate unbroken chain of custody?	RECORD; PROCEDURE	Document	Chain of custody forms and access logs and secure storage and handover documentation and unbroken chain demonstrable	No custody forms; No access logs; Storage insecure; Handover undocumented; Chain broken	Chain of custody not documented or demonstrable.	High	Auditor	5.24; 5.26; 8.15	23; 25a	11; 12
5.28	Collection of Evidence	Organisational Controls	4	Are staff trained on evidence handling?	Evidence handling training review. Look for: forensic awareness training; do's and don'ts; when to escalate; preservation priorities.	Do responders know how to preserve evidence?	RECORD; PROCEDURE	Interview	Forensic awareness training and do's and don'ts and escalation guidance and preservation priorities and staff competent	No forensic training; Do's and don'ts missing; Escalation unclear; Priorities undefined; Staff incompetent	Staff not trained on evidence handling and preservation.	Medium	Advisor	6.3; 5.24; 5.26	23; 25a	11; 12
5.28	Collection of Evidence	Organisational Controls	5	Do you have access to forensic expertise?	Forensic capability review. Look for: internal forensic capability; external retainer agreements; escalation procedures; contact details current.	Who would conduct a forensic investigation?	REGISTER; CONTRACT	Document	Forensic capability defined and internal or external and retainer agreements if external and escalation procedures and contacts current and tested	No forensic capability; No retainer; Escalation unclear; Contacts outdated; Not tested	Forensic investigation capability not available or not tested.	High	Advisor	5.24; 5.26; 5.19	23; 25a	11; 12
5.29	Information Security During Disruption	Organisational Controls	1	How are security requirements maintained during disruptions?	Disruption security review. Look for: security considerations in BCP; minimum security requirements during crisis; risk acceptance authority defined.	What security can be compromised during disruption?	PROCEDURE; POLICY	Document	Security in BCP and minimum requirements during crisis and risk acceptance authority and documented exceptions and recovery procedures include security	Security not in BCP; No minimum requirements; Authority undefined; Exceptions undocumented	Security requirements not addressed in business continuity planning.	High	Advisor	5.30; RQ6; 5.1	21d	11; 12
5.29	Information Security During Disruption	Organisational Controls	2	How are security controls adapted during crisis situations?	Crisis adaptation review. Look for: crisis mode procedures; temporary control measures; exception documentation; enhanced monitoring.	What security exceptions are pre-approved for crisis?	PROCEDURE; RECORD	Document	Crisis mode procedures and temporary controls and exception documentation and enhanced monitoring and pre-approved exceptions and recovery procedures	No crisis procedures; Temporary controls undefined; Exceptions undocumented; No enhanced monitoring	Security control adaptations during crisis not documented.	High	Advisor	5.24; 5.30; 5.1	21d	11; 12
5.29	Information Security During Disruption	Organisational Controls	3	How do security and business continuity teams coordinate?	BC security coordination review. Look for: joint planning; integrated testing; communication procedures; decision authority defined.	Is security included in BC planning?	PROCEDURE; RECORD	Document	Joint planning and integrated testing and communication procedures and decision authority and security in BC exercises and regular coordination	No joint planning; Testing not integrated; Communication unclear; Authority undefined; Security excluded	Security and business continuity teams do not coordinate effectively.	High	Advisor	5.30; 5.24; 5.2	21d	11; 12
5.29	Information Security During Disruption	Organisational Controls	4	How is security restored after disruption?	Security restoration review. Look for: security verification before return to normal; control effectiveness confirmation; monitoring period.	How do you verify security is restored?	PROCEDURE; RECORD	Document	Security verification before return to normal and control effectiveness confirmed and monitoring period and documented and tested	No verification; Effectiveness not confirmed; No monitoring period; Undocumented; Not tested	Security not verified before return to normal operations after disruption.	High	Advisor	5.26; 5.30; 5.36	21d	11; 12
5.29	Information Security During Disruption	Organisational Controls	5	Are security exceptions during disruption documented?	Disruption exception review. Look for: exception records; risk acceptance; post-event review; lessons learned integration.	Are exceptions tracked for post-event review?	RECORD; REGISTER	Document	Exception records maintained and risk acceptance documented and post-event review and lessons learned integration and tracked for review	No exception records; Risk not documented; No post-event review; Lessons not captured; Not tracked	Security exceptions during disruption not documented or reviewed post-event.	Medium	Advisor	5.27; RQ10; 5.30	21d	11; 12
5.30	ICT Readiness for Business Continuity	Organisational Controls	1	Provide your ICT continuity or DR plan.	DR plan review. Look for: RTOs; RPOs per system; recovery procedures; dependencies documented; communication procedures.	Are RTOs and RPOs aligned with business requirements?	PROCEDURE; MATRIX	Document	DR plan with RTOs and RPOs per system and recovery procedures and dependencies and communication procedures and aligned with business requirements	No DR plan; RTOs undefined; RPOs missing; Procedures unclear; Dependencies not documented; Misaligned with business	ICT continuity plan not documented or RTOs and RPOs not aligned with business.	Critical	Auditor	5.29; 8.13; 8.14	21; 22	11; 12
5.30	ICT Readiness for Business Continuity	Organisational Controls	2	Show me RTO and RPO definitions for critical systems.	RTO RPO definition review. Look for: documented targets per system; business impact analysis linkage; achievability verification.	Can you actually meet these targets?	MATRIX; RECORD	Document	RTOs and RPOs per critical system and BIA linkage and achievability verified through testing and documented and reviewed regularly	Targets undefined; No BIA linkage; Achievability not verified; Undocumented; Not reviewed	RTO and RPO targets not defined or verified as achievable for critical systems.	Critical	Auditor	RQ6; 5.9; 8.13	21; 22	11; 12
5.30	ICT Readiness for Business Continuity	Organisational Controls	3	How often is DR and BC testing conducted?	DR testing frequency review. Look for: test schedule annual minimum; test scope full vs partial; success criteria; test results documented.	When was the last full DR test?	REGISTER; RECORD	Document	Annual minimum testing and scope documented and success criteria and results documented and full test conducted and issues tracked	Testing infrequent; Scope inadequate; No success criteria; Results undocumented; No full test	DR and BC testing not conducted at required frequency.	High	Auditor	RQ9; 5.35; 5.29	21; 22	11; 12
5.30	ICT Readiness for Business Continuity	Organisational Controls	4	Provide results from the most recent DR test.	DR test results review. Look for: test report; objectives achieved; issues identified; remediation actions; next test date.	Were RTOs and RPOs achieved in testing?	REPORT; RECORD	Document	Test report available and objectives documented and issues identified and remediation actions and next test scheduled and RTOs RPOs achieved	No test report; Objectives unclear; Issues not captured; No remediation; Next test unscheduled; Targets not met	DR test results not documented or RTOs and RPOs not achieved.	High	Auditor	5.35; RQ9; 5.27	21; 22	11; 12
5.30	ICT Readiness for Business Continuity	Organisational Controls	5	How are backups tested for restoration?	Backup restoration testing review. Look for: restoration testing schedule; verification of backup integrity; time to restore measurement.	When was backup restoration last tested?	RECORD; REPORT	Document	Restoration testing schedule and integrity verified and time to restore measured and recent test and issues tracked and recovery validated	No restoration testing; Integrity not verified; Time not measured; Not recently tested; Issues not tracked	Backup restoration not tested or integrity not verified.	High	Auditor	8.13; 5.29; 8.14	21; 22	11; 12
5.30	ICT Readiness for Business Continuity	Organisational Controls	6	Is there geographic redundancy for critical systems?	Geographic redundancy review. Look for: multi-region deployment; failover capability; data replication; maximum data loss tolerance.	Where is your DR site?	CONFIG; MATRIX	Document	Geographic redundancy for critical systems and multi-region deployment and failover tested and data replication and data loss tolerance defined	No geographic redundancy; Single region; Failover not tested; No replication; Data loss undefined	Geographic redundancy not implemented for critical systems.	High	Advisor	8.14; 5.9; 8.13	21; 22	11; 12
5.31	Legal Statutory Regulatory and Contractual Requirements	Organisational Controls	1	Provide your compliance obligations register.	Compliance register review. Look for: applicable laws including Privacy Act; regulations; contractual requirements; assessment of applicability.	Is the register comprehensive and current?	REGISTER; MATRIX	Document	Compliance register with applicable laws and regulations and contracts and applicability assessed and comprehensive and current and reviewed regularly	Incomplete register; Laws missing; Regulations missing; Contracts not tracked; Applicability unclear; Outdated	Compliance obligations register incomplete or not current.	High	Auditor	5.1; 5.34; RQ4	18; 19	11; 12
5.31	Legal Statutory Regulatory and Contractual Requirements	Organisational Controls	2	How are compliance requirements tracked and updated?	Compliance tracking review. Look for: regulatory monitoring process; legal updates tracking; compliance review schedule; impact assessment procedure.	How do you stay current?	PROCEDURE; RECORD	Document	Regulatory monitoring process and legal updates tracked and compliance reviews scheduled and impact assessments and current and documented	No monitoring process; Updates not tracked; No review schedule; No impact assessment; Outdated	Compliance requirements not systematically tracked or updated.	High	Advisor	5.5; 5.1; RQ8	18; 19	11; 12
5.31	Legal Statutory Regulatory and Contractual Requirements	Organisational Controls	3	How are contractual security obligations identified?	Contractual obligations review. Look for: contract review process; security obligations extraction; compliance verification; breach implications.	Are security obligations tracked per contract?	PROCEDURE; REGISTER	Document	Contract review process and security obligations extracted and tracked per contract and compliance verified and breach implications understood	No contract review; Obligations not extracted; Not tracked; Compliance not verified; Breach implications unknown	Contractual security obligations not identified or tracked.	High	Advisor	5.19; 5.20; 5.1	18; 19	11; 12
5.31	Legal Statutory Regulatory and Contractual Requirements	Organisational Controls	4	How is compliance verified?	Compliance verification review. Look for: compliance assessments; audit program; evidence collection; gap remediation tracking.	How do you know you're compliant?	REPORT; RECORD	Document	Compliance assessments conducted and audit program and evidence collected and gaps tracked and remediation verified and reported	No assessments; No audit program; Evidence missing; Gaps not tracked; Remediation not verified	Compliance not verified through assessment or audit program.	High	Auditor	5.35; 5.36; RQ9	18; 19	11; 12
5.31	Legal Statutory Regulatory and Contractual Requirements	Organisational Controls	5	How do you respond to regulatory changes?	Regulatory change response review. Look for: impact assessment procedure; implementation planning; deadline tracking; resource allocation.	Show me response to a recent regulatory change.	PROCEDURE; RECORD	Document	Impact assessment procedure and implementation planning and deadline tracking and resource allocation and recent example available and timely response	No impact assessment; No planning; Deadlines missed; Resources not allocated; No examples; Delayed response	Response to regulatory changes not systematic or timely.	High	Advisor	5.5; RQ4; 5.1	18; 19	11; 12
5.32	Intellectual Property Rights	Organisational Controls	1	Provide your intellectual property protection procedures.	IP protection review. Look for: IP policy; copyright compliance; software licensing; trademark protection measures documented.	Are IP protection measures documented?	POLICY; PROCEDURE	Document	IP policy documented and copyright compliance and software licensing and trademark protection and communicated and enforced	No IP policy; Copyright ignored; Licensing unclear; Trademark unprotected; Not communicated	Intellectual property protection procedures not documented.	Medium	Auditor	5.1; 5.10; 6.2	17; 18; 19; 20	11; 12
5.32	Intellectual Property Rights	Organisational Controls	2	How is software licensing compliance managed?	Licensing compliance review. Look for: license inventory; compliance monitoring; audit trail for acquisitions; periodic verification.	Is your software licensed correctly?	REGISTER; RECORD	Document	License inventory and compliance monitoring and acquisition audit trail and periodic verification and compliant and documented	No license inventory; Monitoring absent; No audit trail; No verification; Non-compliant	Software licensing compliance not managed or verified.	Medium	Analyst	5.9; 5.36; 8.19	17; 18; 19; 20	11; 12
5.32	Intellectual Property Rights	Organisational Controls	3	How is open source software managed?	Open source management review. Look for: open source policy; license compatibility review; approved component list; SBOM maintenance.	Do you know what open source you're using?	POLICY; REGISTER	Document	Open source policy and license compatibility review and approved list and SBOM maintained and vulnerabilities tracked and compliant	No open source policy; Compatibility not reviewed; No approved list; No SBOM; Vulnerabilities unknown	Open source software not managed with license compliance and vulnerability tracking.	Medium	Advisor	5.21; 8.28; 8.8	17; 18; 19; 20	11; 12
5.32	Intellectual Property Rights	Organisational Controls	4	How are employees made aware of IP requirements?	IP awareness review. Look for: IP clauses in contracts; awareness training; acceptable use policy coverage.	Do staff understand IP obligations?	CONTRACT; RECORD	Interview	IP in contracts and awareness training and AUP covers IP and staff understand and regularly reinforced	No IP in contracts; No training; AUP ignores IP; Staff unaware; Not reinforced	Employees not aware of intellectual property requirements.	Medium	Advisor	6.2; 6.3; 5.10	17; 18; 19; 20	11; 12
5.32	Intellectual Property Rights	Organisational Controls	5	How is third-party IP protected?	Third-party IP review. Look for: license agreements; usage restrictions; confidentiality requirements; return or destruction procedures.	How do you protect client IP?	CONTRACT; PROCEDURE	Document	License agreements and usage restrictions and confidentiality requirements and return or destruction procedures and documented and enforced	No license agreements; Restrictions unclear; Confidentiality missing; No return procedures	Third-party intellectual property not protected with appropriate controls.	Medium	Advisor	5.19; 6.6; 5.14	17; 18; 19; 20	11; 12
5.33	Protection of Records	Organisational Controls	1	Provide your records management policy.	Records policy review. Look for: record types; retention periods; protection requirements; disposal procedures; legal hold capability.	Are retention periods legally compliant?	POLICY; REGISTER	Document	Records policy with types and retention periods and protection requirements and disposal procedures and legal hold and legally compliant	No records policy; Retention undefined; Protection unclear; Disposal missing; No legal hold	Records management policy not documented or retention periods not legally compliant.	High	Auditor	5.1; 5.31; 5.12	21a; 21b	11; 12
5.33	Protection of Records	Organisational Controls	2	How are records protected from loss and destruction?	Records protection review. Look for: backup procedures; redundancy; access controls; integrity verification; disaster recovery.	Can records be recovered after disaster?	CONFIG; PROCEDURE	Document	Backup procedures and redundancy and access controls and integrity verification and disaster recovery and recovery tested	No backups; No redundancy; Access uncontrolled; Integrity not verified; No DR; Not tested	Records not adequately protected from loss and destruction.	High	Advisor	8.13; 8.14; 5.30	21a; 21b	11; 12
5.33	Protection of Records	Organisational Controls	3	How is record integrity ensured?	Record integrity review. Look for: audit trails; access logging; version control; tamper detection; digital signatures where required.	How do you know records haven't been modified?	CONFIG; RECORD	Document	Audit trails and access logging and version control and tamper detection and digital signatures where required and integrity verifiable	No audit trails; No access logging; No version control; No tamper detection; Integrity not verifiable	Record integrity not ensured through appropriate controls.	High	Advisor	8.15; 8.24; 5.12	21a; 21b	11; 12
5.33	Protection of Records	Organisational Controls	4	How are records disposed of securely?	Records disposal review. Look for: disposal procedures; destruction verification; certificates of destruction; media sanitisation.	Can you prove secure destruction?	PROCEDURE; RECORD	Document	Disposal procedures and destruction verification and certificates of destruction and media sanitisation and documented and auditable	No disposal procedures; No verification; No certificates; Media not sanitised; Undocumented	Records not disposed of securely with verifiable destruction.	High	Auditor	8.10; 7.14; 5.12	21a; 21b	11; 12
5.33	Protection of Records	Organisational Controls	5	Can records be retrieved when required?	Records retrieval review. Look for: retrieval capability; search functions; legal hold procedures; response to legal requests.	How quickly can you respond to legal requests?	PROCEDURE; RECORD	Document	Retrieval capability and search functions and legal hold procedures and response to legal requests and timely and documented	No retrieval capability; Search limited; No legal hold; Response delayed; Undocumented	Records cannot be retrieved in timely manner when legally required.	High	Advisor	5.31; 5.1; 8.13	21a; 21b	11; 12
5.34	Privacy and Protection of PII	Organisational Controls	1	Provide your privacy policy and PII handling procedures.	Privacy policy review. Look for: privacy policy; data handling procedures; Privacy Act compliance; consent management.	Is privacy policy publicly available?	POLICY; PROCEDURE	Document	Privacy policy documented and publicly available and data handling procedures and Privacy Act compliance and consent management and current	No privacy policy; Not public; Handling unclear; Non-compliant; Consent not managed	Privacy policy not documented or not publicly available.	High	Auditor	5.31; 5.12; 5.1	21b; 21d	11; 12
5.34	Privacy and Protection of PII	Organisational Controls	2	How is PII processing documented?	PII processing documentation review. Look for: data inventory; processing purposes; legal basis; data flows; retention periods.	Do you know what PII you process?	REGISTER; MATRIX	Document	Data inventory and processing purposes and legal basis and data flows documented and retention periods and comprehensive and current	No data inventory; Purposes unclear; Legal basis missing; Flows undocumented; Retention undefined	PII processing not documented with purposes and legal basis.	High	Auditor	5.9; 5.12; 5.31	21b; 21d	11; 12
5.34	Privacy and Protection of PII	Organisational Controls	3	What technical measures protect PII?	PII technical protection review. Look for: encryption; access controls; pseudonymisation; data minimisation; secure deletion.	Is PII encrypted at rest and in transit?	CONFIG; PROCEDURE	Document	Encryption at rest and in transit and access controls and pseudonymisation where appropriate and data minimisation and secure deletion	No encryption; Access uncontrolled; No pseudonymisation; Data maximised; Deletion insecure	PII not protected with appropriate technical measures.	High	Auditor	8.24; 5.15; 8.10	21b; 21d	11; 12
5.34	Privacy and Protection of PII	Organisational Controls	4	How are data subject rights managed?	Data subject rights review. Look for: access request procedures; correction and deletion processes; response timelines; request tracking.	Can you respond to access requests within timeframe?	PROCEDURE; RECORD	Document	Access request procedures and correction and deletion and response timelines and request tracking and timely response and documented	No access request procedures; Correction missing; Deletion unclear; Timelines exceeded; Not tracked	Data subject rights not managed or response timelines not met.	High	Advisor	5.31; 5.33; 5.1	21b; 21d	11; 12
5.34	Privacy and Protection of PII	Organisational Controls	5	What is your privacy breach notification process?	Privacy breach notification review. Look for: breach assessment criteria; notification procedures; regulatory reporting requirements; affected party notification.	Can you notify within required timeframes?	PROCEDURE; MATRIX	Document	Breach assessment criteria and notification procedures and regulatory reporting and affected party notification and timelines met and tested	No breach assessment; Notification unclear; Reporting undefined; Affected parties not notified; Timelines missed	Privacy breach notification process not documented or timelines not achievable.	Critical	Auditor	5.24; 5.5; 5.31	21b; 21d	11; 12
5.35	Independent Review of Information Security	Organisational Controls	1	Provide your independent security review program.	Review program assessment. Look for: internal audit program; external assessments; penetration testing; scope and frequency documented.	Is there truly independent review?	PROCEDURE; REGISTER	Document	Internal audit program and external assessments and penetration testing and scope defined and frequency defined and independence ensured	No review program; No external assessment; No penetration testing; Scope undefined; Frequency undefined	Independent security review program not documented or comprehensive.	High	Auditor	RQ9; 5.36; 5.1	30; 31; 32	11; 12
5.35	Independent Review of Information Security	Organisational Controls	2	How is reviewer independence ensured?	Reviewer independence review. Look for: no conflicts of interest; independence declarations; separation from operational responsibilities.	Are reviewers independent from areas reviewed?	RECORD; PROCEDURE	Document	No conflicts of interest and independence declarations and separation from operations and verified and documented	Conflicts of interest; No declarations; Not separated; Not verified; Undocumented	Reviewer independence not ensured or documented.	High	Auditor	RQ9; 5.3; 5.2	30; 31; 32	11; 12
5.35	Independent Review of Information Security	Organisational Controls	3	How are review findings tracked and remediated?	Finding remediation review. Look for: finding register; remediation timelines; verification of closure; escalation procedures.	Are findings closed within timeframes?	REGISTER; RECORD	Document	Finding register and remediation timelines and closure verification and escalation procedures and on-time closure and tracked	No finding register; Timelines undefined; Closure not verified; No escalation; Overdue findings	Security review findings not tracked or remediated within timeframes.	High	Auditor	RQ10; RQ9; 5.36	30; 31; 32	11; 12
5.35	Independent Review of Information Security	Organisational Controls	4	Is there second line oversight of security controls?	Line 2 oversight review. Look for: second line testing program; control effectiveness assessment; reporting to risk committees.	How does Line 2 oversee security?	PROCEDURE; REPORT	Document	Second line testing program and control effectiveness assessment and risk committee reporting and documented and regular and independent	No Line 2 testing; Effectiveness not assessed; No committee reporting; Undocumented; Irregular	Second line oversight of security controls not implemented.	High	Advisor	RQ9; 5.36; RQ6	30; 31; 32	11; 12
5.35	Independent Review of Information Security	Organisational Controls	5	Provide evidence of recent external security assessment.	External assessment review. Look for: penetration test report; security audit report; findings and remediation status.	When was the last external assessment?	REPORT; RECORD	Document	Recent penetration test and security audit and findings documented and remediation status and current and comprehensive scope	No external assessment; Pen test outdated; Audit missing; Findings not documented; Scope limited	External security assessment not conducted or findings not remediated.	High	Auditor	8.8; RQ9; 5.36	30; 31; 32	11; 12
5.36	Compliance with Policies Rules and Standards	Organisational Controls	1	How is compliance with security policies monitored?	Compliance monitoring review. Look for: compliance monitoring program; automated checks; manual reviews; exception tracking.	Is monitoring continuous or periodic?	CONFIG; RECORD	Document	Compliance monitoring program and automated checks and manual reviews and exception tracking and continuous or frequent and documented	No monitoring program; No automated checks; Manual reviews irregular; Exceptions not tracked	Compliance with security policies not actively monitored.	High	Auditor	5.1; 5.4; 8.16	32	11; 12
5.36	Compliance with Policies Rules and Standards	Organisational Controls	2	How often are compliance reviews conducted?	Compliance review frequency assessment. Look for: review schedule; coverage of policy requirements; finding documentation; trend analysis.	Show me recent compliance review results.	RECORD; REPORT	Document	Review schedule and coverage of requirements and findings documented and trend analysis and recent results available and action taken	No review schedule; Coverage incomplete; Findings undocumented; No trend analysis; No recent results	Compliance reviews not conducted at required frequency.	High	Auditor	5.35; RQ9; 5.1	32	11; 12
5.36	Compliance with Policies Rules and Standards	Organisational Controls	3	How are compliance exceptions managed?	Compliance exception review. Look for: exception request process; approval authority; compensating controls; time limits; regular review.	How many exceptions currently exist?	PROCEDURE; REGISTER	Document	Exception process and approval authority and compensating controls and time limits and regular review and current count known and tracked	No exception process; Authority unclear; No compensating controls; No time limits; Not reviewed; Count unknown	Compliance exceptions not managed with appropriate controls and time limits.	High	Advisor	5.1; RQ6; 5.3	32	11; 12
5.36	Compliance with Policies Rules and Standards	Organisational Controls	4	How is compliance status reported to management?	Compliance reporting review. Look for: compliance dashboards; management reports; trend analysis; risk-based prioritisation.	Does management see compliance status?	REPORT; RECORD	Document	Compliance dashboards and management reports and trend analysis and risk-based prioritisation and regular reporting and management visibility	No dashboards; No reports; No trend analysis; Not prioritised; Irregular reporting; Management unaware	Compliance status not reported to management effectively.	Medium	Analyst	RQ5; RQ9; 5.1	32	11; 12
5.36	Compliance with Policies Rules and Standards	Organisational Controls	5	How are compliance violations addressed?	Violation response review. Look for: remediation process; disciplinary linkage; root cause analysis; recurrence prevention.	Show me how a violation was addressed.	PROCEDURE; RECORD	Document	Remediation process and disciplinary linkage and root cause analysis and recurrence prevention and examples available and consistent	No remediation process; No disciplinary linkage; No RCA; Recurrence not prevented; No examples	Compliance violations not addressed with root cause analysis and recurrence prevention.	High	Advisor	6.4; 5.27; RQ10	32	11; 12
5.37	Documented Operating Procedures	Organisational Controls	1	Are operating procedures documented for critical processes?	Procedure documentation review. Look for: procedure documentation; coverage of security operations; version control; review dates.	Are critical processes documented?	PROCEDURE; REGISTER	Document	Procedures for critical processes and security operations covered and version control and review dates and comprehensive and current	Critical processes undocumented; Security operations missing; No version control; Review dates missing	Operating procedures not documented for critical security processes.	High	Auditor	5.1; 8.1; 8.32	19	11; 12
5.37	Documented Operating Procedures	Organisational Controls	2	How are procedures made accessible to relevant personnel?	Procedure accessibility review. Look for: documentation repository; access controls; search capability; offline access for emergency.	Can staff find procedures when needed?	CONFIG; PROCEDURE	Document	Documentation repository and appropriate access controls and search capability and offline access and staff can find and accessible	No repository; Access too restricted; No search; No offline access; Staff cannot find	Operating procedures not accessible to relevant personnel when needed.	Medium	Advisor	5.1; 6.3; 5.33	19	11; 12
5.37	Documented Operating Procedures	Organisational Controls	3	How often are procedures reviewed and updated?	Procedure review cycle assessment. Look for: review schedule; update triggers; change management; owner accountability.	When were procedures last reviewed?	RECORD; PROCEDURE	Document	Review schedule and update triggers and change management and owner accountability and recent review and changes tracked	No review schedule; Triggers undefined; No change management; No accountability; Not reviewed	Operating procedures not reviewed and updated at required intervals.	Medium	Advisor	5.1; RQ8; 8.32	19	11; 12
5.37	Documented Operating Procedures	Organisational Controls	4	Do procedures include security steps?	Security integration review. Look for: security embedded in procedures not separate; verification checkpoints; security considerations.	Is security integral or bolted on?	PROCEDURE; MATRIX	Document	Security embedded in procedures and verification checkpoints and security considerations and not separate and comprehensive coverage	Security separate; No checkpoints; Considerations missing; Bolted on; Coverage incomplete	Security steps not integrated into operating procedures.	High	Advisor	5.1; 8.9; 8.32	19	11; 12
5.37	Documented Operating Procedures	Organisational Controls	5	How is staff competence on procedures verified?	Procedure competence review. Look for: training records; competency verification; procedure acknowledgment; periodic assessment.	Can staff demonstrate procedure knowledge?	RECORD; PROCEDURE	Interview	Training records and competency verification and acknowledgment and periodic assessment and staff competent and documented	No training records; Competency not verified; No acknowledgment; No assessment; Staff incompetent	Staff competence on operating procedures not verified.	Medium	Advisor	6.3; 5.2; 6.2	19	11; 12
6.1	Screening	People Controls	1	Provide your pre-employment screening policy.	Screening requirements verification. Look for: check types including criminal and employment history and qualifications; timing requirements; role-based requirements; proportionality to risk level.	Are all candidates screened before starting?	POLICY; PROCEDURE	Document	Comprehensive screening policy covering all check types and timing requirements and role-based proportionality and consistent application and documented procedures	No screening policy; Inconsistent application; Checks not completed before start; No role differentiation; Ad-hoc approach	Pre-employment screening policy not documented or not consistently applied.	High	Auditor	6.2; 5.2; RQ7		11; 12
6.1	Screening	People Controls	2	How is screening proportional to role sensitivity?	Tiered screening review. Look for: risk-based approach proportional to information classification level; enhanced checks for privileged roles and admin access; access level differentiation; documented criteria for tiering.	What extra checks for sensitive roles?	PROCEDURE; MATRIX	Document	Tiered screening based on access levels and enhanced checks for privileged roles and documented criteria for each tier and risk-based approach demonstrated and consistent application	No tiering; Same checks for all roles; Privileged roles not identified; No risk-based approach; Criteria undocumented	Screening not proportional to role sensitivity or privileged access requirements.	High	Advisor	5.18; 8.2; 5.2		11; 12
6.1	Screening	People Controls	3	Are ongoing or periodic checks conducted?	Periodic re-screening review. Look for: re-screening policy; trigger events defined; frequency for sensitive roles; continuous monitoring where applicable.	Is screening a one-time event or ongoing?	POLICY; RECORD	Document	Periodic re-screening policy documented and trigger events defined and frequency appropriate to role sensitivity and records maintained and continuous monitoring where justified	One-time screening only; No re-screening policy; Trigger events not defined; No records of periodic checks	Ongoing screening not conducted for roles with continued access to sensitive information.	Medium	Advisor	5.18; 5.35; RQ9		11; 12
6.1	Screening	People Controls	4	How are contractors and third parties screened?	Third party screening review. Look for: contract requirements for screening; equivalent standards applied; evidence collection; verification process.	Do contractors receive equivalent screening?	CONTRACT; RECORD; PROCEDURE	Document	Contract requirements specify screening and equivalent standards to employees and evidence collected from suppliers and verification conducted and records maintained	No contractor screening requirements; Lower standards than employees; No evidence collection; Verification not conducted	Contractors and third parties not subject to equivalent screening requirements.	High	Auditor	5.19; 5.20; 5.21		11; 12
6.1	Screening	People Controls	5	Is screening compliant with applicable laws?	Legal compliance review. Look for: privacy considerations addressed; consent requirements met; record retention appropriate; discrimination avoidance documented.	Are screening practices legally compliant?	POLICY; RECORD; PROCEDURE	Document	Privacy considerations documented and consent obtained before checks and retention periods compliant and discrimination avoided and legal review conducted and procedures updated for changes	Privacy requirements ignored; No consent obtained; Excessive retention; Discriminatory practices; No legal review	Screening practices not demonstrably compliant with applicable privacy and employment laws.	High	Advisor	5.31; 5.34; 5.1		11; 12
6.2	Terms and Conditions of Employment	People Controls	1	Do employment contracts include security responsibilities?	Contract review for security content. Look for: security clauses in contracts; confidentiality obligations; acceptable use acknowledgment; post-employment obligations; consequences for breach.	Show me the security clauses in contracts.	CONTRACT; POLICY	Document	Security clauses in all contracts and confidentiality obligations defined and acceptable use acknowledgment required and post-employment obligations included and consequences documented	No security clauses; Confidentiality missing; No acknowledgment required; Post-employment not addressed; Consequences unclear	Employment contracts do not include information security responsibilities.	High	Auditor	5.1; 6.4; 6.5		11; 12
6.2	Terms and Conditions of Employment	People Controls	2	How are security obligations communicated to new starters?	Onboarding security communication review. Look for: induction materials covering security; policy acknowledgment process; security briefing provided; ongoing communication plan.	Is security emphasised from day one?	PROCEDURE; RECORD	Document	Security in induction materials and policy acknowledgment recorded and security briefing provided and ongoing communication plan and new starter checklist includes security	Security not in induction; No acknowledgment process; No briefing; Ongoing communication absent; Checklist incomplete	Security obligations not communicated to new starters during onboarding.	Medium	Advisor	6.3; 5.4; RQ7		11; 12
6.2	Terms and Conditions of Employment	People Controls	3	Do contracts address post-employment obligations?	Post-employment terms review. Look for: confidentiality continuing after termination; return of assets requirements; ongoing restrictions; enforceability provisions.	Are post-employment obligations enforceable?	CONTRACT; POLICY	Document	Confidentiality continues after termination and asset return requirements and ongoing restrictions documented and enforceable provisions included and duration specified	Post-employment not addressed; No asset return clause; Restrictions unclear; Not enforceable; No duration	Post-employment security obligations not addressed in employment contracts.	High	Auditor	6.5; 5.11; 6.6		11; 12
6.2	Terms and Conditions of Employment	People Controls	4	Are equivalent terms applied to contractors?	Contractor terms review. Look for: contract clauses for non-employees; equivalent security obligations; compliance monitoring requirements; consequences for breach.	Do contractor contracts mirror employee terms?	CONTRACT; RECORD	Document	Equivalent clauses in contractor contracts and security obligations equivalent to employees and compliance monitoring included and consequences documented and regular review	Lower standards for contractors; Security obligations missing; No monitoring; No consequences; Contracts not reviewed	Contractor contracts do not include equivalent security terms to employee contracts.	High	Auditor	5.19; 5.20; 6.1		11; 12
6.2	Terms and Conditions of Employment	People Controls	5	How are changes to terms communicated?	Terms update process review. Look for: update notification process; re-acknowledgment requirements; version tracking; evidence of communication.	How do employees know terms have changed?	PROCEDURE; RECORD	Document	Update notification process documented and re-acknowledgment required for material changes and version tracking maintained and communication records kept and timely notification	No notification process; No re-acknowledgment; No version tracking; No communication records; Delayed notification	Changes to security terms not communicated to employees with acknowledgment.	Medium	Advisor	5.1; 6.3; RQ7		11; 12
